rho	e	Marginal pval	Multivariate pval	type
0	0	0.0620996	0.2518444	Nonadmixed Indep
0	0	0.153155	0.4414694	Nonadmixed Indep
0	0	0.0921244	0.3351773	Nonadmixed Indep
0	0	0.00316173	0.05364954	Nonadmixed Indep
0	0	0.830479	0.791921	Nonadmixed Indep
0	0	0.499994	0.1494522	Nonadmixed Indep
0	0	0.652465	0.1592279	Nonadmixed Indep
0	0	0.391077	0.504176	Nonadmixed Indep
0	0	0.805842	0.7694751	Nonadmixed Indep
0	0	0.188955	0.3232097	Nonadmixed Indep
0	0	0.384928	0.5046402	Nonadmixed Indep
0	0	0.243139	0.1027256	Nonadmixed Indep
0	0	0.0239674	0.1952755	Nonadmixed Indep
0	0	0.970002	0.6738389	Nonadmixed Indep
0	0	0.653588	0.4675636	Nonadmixed Indep
0	0	0.475337	0.9429183	Nonadmixed Indep
0	0	0.268764	0.8987197	Nonadmixed Indep
0	0	0.419269	0.5029038	Nonadmixed Indep
0	0	0.406433	0.1921378	Nonadmixed Indep
0	0	0.572609	0.6166833	Nonadmixed Indep
0	0	0.974911	0.8221283	Nonadmixed Indep
0	0	0.0399542	0.02794841	Nonadmixed Indep
0	0	0.222903	0.1197436	Nonadmixed Indep
0	0	0.729202	0.7496248	Nonadmixed Indep
0	0	0.0839733	0.02785191	Nonadmixed Indep
0	0	0.649741	0.2315668	Nonadmixed Indep
0	0	0.211028	0.08467403	Nonadmixed Indep
0	0	0.830314	0.6343004	Nonadmixed Indep
0	0	0.700414	0.7976988	Nonadmixed Indep
0	0	0.523544	0.8475933	Nonadmixed Indep
0	0	0.446524	0.3883674	Nonadmixed Indep
0	0	0.626086	0.9827576	Nonadmixed Indep
0	0	0.615428	0.5828718	Nonadmixed Indep
0	0	0.046622	0.1864858	Nonadmixed Indep
0	0	0.422023	0.6703353	Nonadmixed Indep
0	0	0.0339419	0.08131909	Nonadmixed Indep
0	0	0.592731	0.8053673	Nonadmixed Indep
0	0	0.847051	0.9169417	Nonadmixed Indep
0	0	0.265808	0.4392174	Nonadmixed Indep
0	0	0.673749	0.4574548	Nonadmixed Indep
0	0	0.199949	0.1532564	Nonadmixed Indep
0	0	0.443115	0.5479722	Nonadmixed Indep
0	0	0.567057	0.3078024	Nonadmixed Indep
0	0	0.783681	0.4322366	Nonadmixed Indep
0	0	0.394371	0.5654871	Nonadmixed Indep
0	0	0.292106	0.8565885	Nonadmixed Indep
0	0	0.642347	0.7389648	Nonadmixed Indep
0	0	0.240922	0.5564237	Nonadmixed Indep
0	0	0.614458	0.8762149	Nonadmixed Indep
0	0	0.788776	0.7651655	Nonadmixed Indep
0	0	0.0208629	0.1316211	Nonadmixed Indep
0	0	0.439299	0.2961856	Nonadmixed Indep
0	0	0.891794	0.5734451	Nonadmixed Indep
0	0	0.603811	0.4195048	Nonadmixed Indep
0	0	0.90165	0.5198042	Nonadmixed Indep
0	0	0.777864	0.2435446	Nonadmixed Indep
0	0	0.458633	0.9231733	Nonadmixed Indep
0	0	0.809569	0.2018376	Nonadmixed Indep
0	0	0.153035	0.7783391	Nonadmixed Indep
0	0	0.538265	0.3500553	Nonadmixed Indep
0	0	0.50518	0.225381	Nonadmixed Indep
0	0	0.235215	0.789519	Nonadmixed Indep
0	0	0.770264	0.3937926	Nonadmixed Indep
0	0	0.877851	0.7699896	Nonadmixed Indep
0	0	0.0137298	0.1633349	Nonadmixed Indep
0	0	0.724074	0.9069533	Nonadmixed Indep
0	0	0.313318	0.8983983	Nonadmixed Indep
0	0	0.164193	0.4470878	Nonadmixed Indep
0	0	0.751996	0.7716123	Nonadmixed Indep
0	0	0.892697	0.1616061	Nonadmixed Indep
0	0	0.829576	0.7582113	Nonadmixed Indep
0	0	0.0539583	0.1033239	Nonadmixed Indep
0	0	0.6227	0.7726488	Nonadmixed Indep
0	0	0.0729283	0.1001876	Nonadmixed Indep
0	0	0.829382	0.4970035	Nonadmixed Indep
0	0	0.3107	0.08756545	Nonadmixed Indep
0	0	0.343974	0.6032339	Nonadmixed Indep
0	0	0.572669	0.9282363	Nonadmixed Indep
0	0	0.906967	0.2728428	Nonadmixed Indep
0	0	0.535579	0.8006223	Nonadmixed Indep
0	0	0.863701	0.8751092	Nonadmixed Indep
0	0	0.803597	0.6651398	Nonadmixed Indep
0	0	0.317432	0.1415085	Nonadmixed Indep
