rho	e	Marginal pval	Multivariate pval	type
0	0.1	0.0124386	2.43691e-05	Nonadmixed Indep
0	0.1	0.00173171	0.01831625	Nonadmixed Indep
0	0.1	0.215637	0.0001214249	Nonadmixed Indep
0	0.1	0.00108465	0.0001732695	Nonadmixed Indep
0	0.1	0.175082	0.0691076	Nonadmixed Indep
0	0.1	0.310964	0.002850389	Nonadmixed Indep
0	0.1	0.576022	0.1453288	Nonadmixed Indep
0	0.1	0.186512	0.01522865	Nonadmixed Indep
0	0.1	0.26301	0.009440801	Nonadmixed Indep
0	0.1	0.0139959	0.1291689	Nonadmixed Indep
0	0.1	0.0647572	0.001854616	Nonadmixed Indep
0	0.1	0.0292188	0.0008613873	Nonadmixed Indep
0	0.1	0.359464	0.2290393	Nonadmixed Indep
0	0.1	0.091405	0.003290814	Nonadmixed Indep
0	0.1	0.258016	3.348116e-05	Nonadmixed Indep
0	0.1	0.914915	0.05103277	Nonadmixed Indep
0	0.1	0.000873689	0.00761207	Nonadmixed Indep
0	0.1	0.0735135	0.03030149	Nonadmixed Indep
0	0.1	0.000583314	0.00272861	Nonadmixed Indep
0	0.1	0.184911	0.01359493	Nonadmixed Indep
0	0.1	0.156535	8.476013e-05	Nonadmixed Indep
0	0.1	4.84703e-05	1.876168e-06	Nonadmixed Indep
0	0.1	0.11663	9.298315e-05	Nonadmixed Indep
0	0.1	0.635892	0.0008240717	Nonadmixed Indep
0	0.1	0.0164675	9.315604e-09	Nonadmixed Indep
0	0.1	0.00822899	0.003837381	Nonadmixed Indep
0	0.1	0.145187	2.937877e-06	Nonadmixed Indep
0	0.1	0.0120551	0.00516328	Nonadmixed Indep
0	0.1	0.00977715	1.011044e-05	Nonadmixed Indep
0	0.1	0.0136381	1.677951e-07	Nonadmixed Indep
0	0.1	0.0427038	0.0002235968	Nonadmixed Indep
0	0.1	0.115717	0.0002501754	Nonadmixed Indep
0	0.1	0.0685295	0.1650173	Nonadmixed Indep
0	0.1	0.899012	0.0008201503	Nonadmixed Indep
0	0.1	0.0077111	0.001975543	Nonadmixed Indep
0	0.1	0.203227	0.1048464	Nonadmixed Indep
0	0.1	0.00803214	0.001835123	Nonadmixed Indep
0	0.1	0.0244425	0.0005796609	Nonadmixed Indep
0	0.1	0.413092	0.00468308	Nonadmixed Indep
0	0.1	0.000288073	0.0008874988	Nonadmixed Indep
0	0.1	0.512276	6.743655e-06	Nonadmixed Indep
0	0.1	0.0319184	0.0002907993	Nonadmixed Indep
0	0.1	0.35443	0.0003626276	Nonadmixed Indep
0	0.1	0.901971	0.00284575	Nonadmixed Indep
0	0.1	0.498121	0.08280647	Nonadmixed Indep
0	0.1	0.289854	0.0002059955	Nonadmixed Indep
0	0.1	0.0038025	0.000219358	Nonadmixed Indep
0	0.1	0.0738422	0.0004597012	Nonadmixed Indep
0	0.1	0.252428	0.001888859	Nonadmixed Indep
0	0.1	0.0195925	8.407079e-05	Nonadmixed Indep
0	0.1	0.00297904	0.0006376918	Nonadmixed Indep
0	0.1	0.296806	0.003037524	Nonadmixed Indep
0	0.1	0.565876	1.760869e-06	Nonadmixed Indep
0	0.1	0.117348	0.04400833	Nonadmixed Indep
0	0.1	0.000406066	0.0007453216	Nonadmixed Indep
0	0.1	0.0209463	0.0001005705	Nonadmixed Indep
0	0.1	0.0200226	0.0009286506	Nonadmixed Indep
0	0.1	0.000944222	1.094835e-08	Nonadmixed Indep
0	0.1	0.0174003	0.0005417471	Nonadmixed Indep
0	0.1	0.262489	0.001986484	Nonadmixed Indep
0	0.1	0.0914909	0.0001149593	Nonadmixed Indep
0	0.1	0.0143391	7.078878e-08	Nonadmixed Indep
0	0.1	0.637649	0.009532689	Nonadmixed Indep
0	0.1	0.00588194	0.01981696	Nonadmixed Indep
0	0.1	0.000188127	7.581784e-07	Nonadmixed Indep
0	0.1	0.134686	2.409265e-06	Nonadmixed Indep
0	0.1	0.205593	0.2511932	Nonadmixed Indep
0	0.1	0.0119858	3.676438e-08	Nonadmixed Indep
0	0.1	0.0427683	0.003334914	Nonadmixed Indep
0	0.1	0.00202535	5.462627e-06	Nonadmixed Indep
0	0.1	0.0512218	3.078907e-06	Nonadmixed Indep
0	0.1	0.000756614	4.622554e-05	Nonadmixed Indep
0	0.1	0.0371343	3.146856e-06	Nonadmixed Indep
0	0.1	0.108742	3.333546e-09	Nonadmixed Indep
0	0.1	0.0426803	0.001905249	Nonadmixed Indep
0	0.1	0.103711	0.00122301	Nonadmixed Indep
0	0.1	0.454471	0.02789088	Nonadmixed Indep
0	0.1	0.154814	2.718835e-07	Nonadmixed Indep
0	0.1	0.151513	0.0409531	Nonadmixed Indep
0	0.1	0.0777014	0.000247473	Nonadmixed Indep
0	0.1	0.178309	7.264753e-05	Nonadmixed Indep
0	0.1	0.399248	0.003524027	Nonadmixed Indep
0	0.1	0.045322	0.0001625559	Nonadmixed Indep
0	0.1	0.105173	0.03653692	Nonadmixed Indep
0	0.1	0.0151908	0.0002580461	Nonadmixed Indep
